ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Agency Type [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2020-21,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Total Revenue (TOTALREV) [District Finance] 2020-21,Total Revenue - Local Sources (TLOCREV) [District Finance] 2020-21,Total Revenue - State Sources (TSTREV) [District Finance] 2020-21,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2020-21,Total Expenditures (TOTALEXP) [District Finance] 2020-21
RED RIVER TECHNOLOGY CENTER,Oklahoma,OK ,4000090,8-Other education agencies,†,†,†,†,†,†,†
RED RIVER VALLEY CHARTER SCHOOL,New Mexico,NM ,3500143,7-Independent Charter District,82,7.01,1293000,6000,1112000,175000,1335000
RED ROCK CENTRAL SCHOOL DISTRICT,Minnesota,MN ,2700132,1-Regular local school district that is NOT a component of a supervisory union,427,33.83,6189000,1239000,4244000,706000,6382000
RED ROCK DAY SCHOOL,Bureau of Indian Education,BI ,5900035,1-Regular local school district that is NOT a component of a supervisory union,110,10.00,†,†,†,†,†
RED ROCK ELEMENTARY DISTRICT (4447),Arizona,AZ ,0406900,1-Regular local school district that is NOT a component of a supervisory union,364,20.50,4029000,1114000,2165000,750000,3835000
RED TOP MEADOWS - ADMINISTRATION OFFICE,Wyoming,WY ,5600015,5-State agency providing elementary and/or secondary level instruction,2,2.00,†,†,†,†,†
RED WATER ELEMENTARY SCHOOL,Bureau of Indian Education,BI ,5900172,1-Regular local school district that is NOT a component of a supervisory union,155,23.00,†,†,†,†,†
RED WING PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2730480,1-Regular local school district that is NOT a component of a supervisory union,2527,164.20,46699000,16139000,26026000,4534000,42814000
REDBANK VALLEY SD,Pennsylvania,PA ,4220130,1-Regular local school district that is NOT a component of a supervisory union,1028,73.07,19276000,4582000,13447000,1247000,17308000
REDDING ELEMENTARY,California,CA ,0632040,1-Regular local school district that is NOT a component of a supervisory union,2950,141.70,51226000,15524000,27246000,8456000,56538000
REDDING SCHOOL DISTRICT,Connecticut,CT ,0903510,1-Regular local school district that is NOT a component of a supervisory union,804,77.60,29790000,25390000,4032000,368000,27737000
REDDING SCHOOL OF THE ARTS DISTRICT,CALIFORNIA,CA ,0602385,7-Independent Charter District,573,24.03,7972000,2380000,5033000,559000,6829000
REDDING STEM ACADEMY DISTRICT,CALIFORNIA,CA ,0601595,7-Independent Charter District,230,12.77,2793000,1305000,1291000,197000,2608000
REDFIELD SCHOOL DISTRICT 56-4,South Dakota,SD ,4660450,1-Regular local school district that is NOT a component of a supervisory union,597,47.29,9080000,5545000,2092000,1443000,8320000
REDFORD UNION SCHOOLS DISTRICT NO. 1,Michigan,MI ,2629460,1-Regular local school district that is NOT a component of a supervisory union,2097,138.30,47547000,16550000,27165000,3832000,41466000
REDINGTON ELEMENTARY DISTRICT (4417),Arizona,AZ ,0406930,1-Regular local school district that is NOT a component of a supervisory union,†,†,102000,97000,5000,0,154000
REDLANDS UNIFIED,California,CA ,0632070,1-Regular local school district that is NOT a component of a supervisory union,20109,927.34,337458000,79416000,200286000,57756000,298873000
REDMOND SD 2J,Oregon,OR ,4110350,1-Regular local school district that is NOT a component of a supervisory union,7070,357.01,108400000,46676000,53247000,8477000,96551000
REDONDO BEACH UNIFIED,California,CA ,0600032,1-Regular local school district that is NOT a component of a supervisory union,9803,392.16,152945000,80744000,61466000,10735000,131063000
REDWATER ISD,Texas,TX ,4836750,1-Regular local school district that is NOT a component of a supervisory union,1107,99.19,14902000,3766000,9802000,1334000,15041000
REDWOOD ACADEMY OF UKIAH DISTRICT,CALIFORNIA,CA ,0601610,7-Independent Charter District,140,6.82,1745000,429000,1168000,148000,1493000
REDWOOD AREA SCHOOL DISTRICT,Minnesota,MN ,2700182,1-Regular local school district that is NOT a component of a supervisory union,1129,79.63,19052000,3986000,12505000,2561000,16545000
REDWOOD AREA TELECOM COOPERATIVE,Minnesota,MN ,2700322,4-Regional Education Service Agency (RESA),†,†,†,†,†,†,†
REDWOOD CITY ELEMENTARY,California,CA ,0632130,1-Regular local school district that is NOT a component of a supervisory union,6770,307.12,148357000,100622000,34238000,13497000,194304000
REDWOOD COAST MONTESSORI DISTRICT,CALIFORNIA,CA ,0601922,7-Independent Charter District,168,9.80,–,–,–,–,–
REDWOOD PREPARATORY CHARTER DISTRICT,CALIFORNIA,CA ,0601995,7-Independent Charter District,220,10.10,2531000,602000,1751000,178000,2264000
REED CITY AREA PUBLIC SCHOOLS,Michigan,MI ,2629490,1-Regular local school district that is NOT a component of a supervisory union,1346,76.84,18867000,4280000,11517000,3070000,16623000
REED CUSTER CUSD 255U,Illinois,IL ,1733380,1-Regular local school district that is NOT a component of a supervisory union,1338,–,32832000,25381000,6120000,1331000,32762000
REED PLT PUBLIC SCHOOLS,Maine,ME ,2310140,1-Regular local school district that is NOT a component of a supervisory union,2,0.00,78000,70000,4000,4000,96000
REED POINT ELEM,Montana,MT ,3022230,1-Regular local school district that is NOT a component of a supervisory union,45,5.93,858000,404000,292000,162000,833000
REED POINT H S,Montana,MT ,3022260,1-Regular local school district that is NOT a component of a supervisory union,24,4.50,823000,398000,390000,35000,662000
REED UNION ELEMENTARY,California,CA ,0632160,1-Regular local school district that is NOT a component of a supervisory union,1205,78.88,29820000,26207000,2883000,730000,27249000
REEDS CREEK ELEMENTARY,California,CA ,0632250,1-Regular local school district that is NOT a component of a supervisory union,201,8.31,2350000,379000,1589000,382000,2232000
REEDS SPRING R-IV,Missouri,MO ,2926160,1-Regular local school district that is NOT a component of a supervisory union,1769,150.33,29228000,21676000,3958000,3594000,23121000
REEDSBURG SCHOOL DISTRICT,Wisconsin,WI ,5512660,1-Regular local school district that is NOT a component of a supervisory union,2675,178.63,41953000,15092000,23224000,3637000,41966000
REEDSPORT SD 105,Oregon,OR ,4110410,1-Regular local school district that is NOT a component of a supervisory union,568,31.05,11456000,4095000,5760000,1601000,11195000
REEDSVILLE SCHOOL DISTRICT,Wisconsin,WI ,5512690,1-Regular local school district that is NOT a component of a supervisory union,540,44.73,11462000,4983000,5447000,1032000,9668000
REEF-SUNSET UNIFIED,California,CA ,0632270,1-Regular local school district that is NOT a component of a supervisory union,2728,113.49,46153000,3897000,35048000,7208000,44704000
REESE PUBLIC SCHOOLS,Michigan,MI ,2629520,1-Regular local school district that is NOT a component of a supervisory union,751,41.02,11007000,2985000,6498000,1524000,10367000
REETHS-PUFFER SCHOOLS,Michigan,MI ,2629540,1-Regular local school district that is NOT a component of a supervisory union,3521,187.00,51053000,13545000,33216000,4292000,46083000
REFUGIO ISD,Texas,TX ,4836780,1-Regular local school district that is NOT a component of a supervisory union,682,61.52,13550000,5253000,4281000,4016000,17813000
REG 1 EDUCATION SERVICE CENTER,Texas,TX ,4800136,4-Regional Education Service Agency (RESA),†,0.00,57996000,20150000,3242000,34604000,41291000
REG 10 EDUCATION SERVICE CENTER,Texas,TX ,4800104,4-Regional Education Service Agency (RESA),†,0.00,92618000,30403000,6712000,55503000,55674000
REG 11 EDUCATION SERVICE CENTER,Texas,TX ,4800162,4-Regional Education Service Agency (RESA),†,0.00,39126000,22145000,5084000,11897000,37427000
REG 12 EDUCATION SERVICE CENTER,Texas,TX ,4800146,4-Regional Education Service Agency (RESA),†,†,33200000,14768000,2406000,16026000,28405000
REG 13 EDUCATION SERVICE CENTER,Texas,TX ,4800169,4-Regional Education Service Agency (RESA),†,0.00,82820000,31316000,20225000,31279000,69037000
REG 14 EDUCATION SERVICE CENTER,Texas,TX ,4800164,4-Regional Education Service Agency (RESA),†,†,23231000,5914000,2449000,14868000,13855000
REG 15 EDUCATION SERVICE CENTER,Texas,TX ,4800166,4-Regional Education Service Agency (RESA),†,†,18984000,6558000,2857000,9569000,16104000
REG 16 EDUCATION SERVICE CENTER,Texas,TX ,4800156,4-Regional Education Service Agency (RESA),†,0.00,38448000,10985000,2551000,24912000,29617000
REG 17 EDUCATION SERVICE CENTER,Texas,TX ,4800144,4-Regional Education Service Agency (RESA),†,0.00,16048000,8573000,1746000,5729000,13196000
REG 18 EDUCATION SERVICE CENTER,Texas,TX ,4800150,4-Regional Education Service Agency (RESA),†,†,24159000,7087000,1791000,15281000,22518000
REG 19 EDUCATION SERVICE CENTER,Texas,TX ,4800107,4-Regional Education Service Agency (RESA),†,0.00,72091000,9544000,3157000,59390000,94901000
REG 2 EDUCATION SERVICE CENTER,Texas,TX ,4800154,4-Regional Education Service Agency (RESA),†,0.00,15333000,10112000,1696000,3525000,12957000
REG 20 EDUCATION SERVICE CENTER,Texas,TX ,4800083,4-Regional Education Service Agency (RESA),†,0.00,51894000,21884000,4095000,25915000,55005000
REG 3 EDUCATION SERVICE CENTER,Texas,TX ,4800172,4-Regional Education Service Agency (RESA),†,†,18876000,5506000,6086000,7284000,14991000
REG 4 EDUCATION SERVICE CENTER,Texas,TX ,4800130,4-Regional Education Service Agency (RESA),†,0.00,159748000,12463000,5425000,141860000,155912000
REG 5 EDUCATION SERVICE CENTER,Texas,TX ,4800155,4-Regional Education Service Agency (RESA),†,5.13,13620000,6568000,1209000,5843000,12974000
REG 6 EDUCATION SERVICE CENTER,Texas,TX ,4800173,4-Regional Education Service Agency (RESA),†,0.00,14765000,5839000,1880000,7046000,10679000
REG 7 EDUCATION SERVICE CENTER,Texas,TX ,4800110,4-Regional Education Service Agency (RESA),†,0.00,39800000,15843000,1909000,22048000,36208000
REG 8 EDUCATION SERVICE CENTER,Texas,TX ,4800165,4-Regional Education Service Agency (RESA),†,0.00,12037000,6163000,1860000,4014000,9974000
REG 9 EDUCATION SERVICE CENTER,Texas,TX ,4800176,4-Regional Education Service Agency (RESA),†,†,16517000,4663000,1761000,10093000,10586000
REG ALTERNATIVE PLUS SELF PROJECT/ROANOKE CITY,Virginia,VA ,5100075,9-Specialized public school district,0,†,–,–,–,–,–
REGENERATION BOND HILL,OHIO,OH ,3901614,7-Independent Charter District,204,8.00,3188000,985000,1559000,644000,3021000
REGENT HIGH SCHOOL,Ohio,OH ,3901409,7-Independent Charter District,267,6.50,3676000,17000,3259000,400000,2886000
REGENT PARK SCHOLARS CHARTER ACADEMY,Michigan,MI ,2600985,7-Independent Charter District,736,44.00,8523000,38000,6649000,1836000,8343000
REGION 05 NORTH COOK ISC 1,Illinois,IL ,1700220,8-Other education agencies,–,–,–,–,–,–,–
REGION 06 WEST COOK ISC 2,Illinois,IL ,1700221,8-Other education agencies,–,–,–,–,–,–,–
REGION 07 SOUTH COOK ISC 4,Illinois,IL ,1700188,8-Other education agencies,–,–,–,–,–,–,–
REGION 1 AND 2-NORTHWEST SRVC COOP,Minnesota,MN ,2700085,4-Regional Education Service Agency (RESA),†,†,49701000,47350000,1003000,1348000,48485000
REGION 10-SOUTHEAST SERVICE COOP,Minnesota,MN ,2700079,4-Regional Education Service Agency (RESA),†,†,3982000,724000,3258000,0,4536000
REGION 11-METRO EDUC. SERVICE UNIT,Minnesota,MN ,2700078,4-Regional Education Service Agency (RESA),†,†,5261000,1109000,457000,3695000,5262000
REGION 18 ESD,Oregon,OR ,4100038,4-Regional Education Service Agency (RESA),0,5.60,5581000,4966000,292000,323000,5612000
REGION 3 - NORTHEAST SERVICE CO-OP,Minnesota,MN ,2700084,4-Regional Education Service Agency (RESA),0,0.93,4790000,1767000,2114000,909000,8812000
REGION 4-LAKES COUNTRY SERVICE COOP,Minnesota,MN ,2700083,4-Regional Education Service Agency (RESA),73,16.41,33222000,27756000,4013000,1453000,39892000
REGION 6 AND 8-SW/WC SERVICE COOP,Minnesota,MN ,2700086,4-Regional Education Service Agency (RESA),224,34.77,38102000,13132000,13152000,11818000,38983000
REGION 7-RESOURCE TRAINING/SOLUTION,Minnesota,MN ,2700081,4-Regional Education Service Agency (RESA),†,†,7138000,4655000,2372000,111000,5198000
REGION 8 EDUCATION SERVICE CENTER,Indiana,IN ,1800110,4-Regional Education Service Agency (RESA),†,†,1155000,1155000,0,0,1070000
REGION 9-SOUTH CENTRAL SERVICE COOP,Minnesota,MN ,2700080,4-Regional Education Service Agency (RESA),†,†,6740000,5621000,335000,784000,8067000
REGION III SPEC ED COOP,Illinois,IL ,1700325,9-Specialized public school district,–,–,3397000,2075000,1225000,97000,3459000
REGIONAL ALTERNATIVE ED/KING WILLIAM,Virginia,VA ,5100091,9-Specialized public school district,0,†,–,–,–,–,–
REGIONAL ALTERNATIVE ED/STAFFORD CO,Virginia,VA ,5100088,9-Specialized public school district,0,†,–,–,–,–,–
REGIONAL ALTERNATIVE EDUCATION CENTER/BUENA VISTA,Virginia,VA ,5100251,9-Specialized public school district,0,†,–,–,–,–,–
REGIONAL ALTERNATIVE/PITTSYLVANIA CO,Virginia,VA ,5100080,9-Specialized public school district,0,†,–,–,–,–,–
REGIONAL ALTERNATIVE/WYTHE CO,Virginia,VA ,5100094,9-Specialized public school district,0,†,–,–,–,–,–
REGIONAL LEARNING ACADEMY/WISE CO,Virginia,VA ,5100102,9-Specialized public school district,0,†,–,–,–,–,–
REGIONAL OFFICE OF CAR/TECH EDUC,Illinois,IL ,1700299,4-Regional Education Service Agency (RESA),†,†,1712000,99000,1165000,448000,1695000
REGIONAL SCHOOL DISTRICT 01,Connecticut,CT ,0903600,1-Regular local school district that is NOT a component of a supervisory union,318,39.50,13925000,10068000,2236000,1621000,13140000
REGIONAL SCHOOL DISTRICT 04,Connecticut,CT ,0903630,1-Regular local school district that is NOT a component of a supervisory union,828,69.40,23392000,20115000,2858000,419000,22011000
REGIONAL SCHOOL DISTRICT 05,Connecticut,CT ,0903660,1-Regular local school district that is NOT a component of a supervisory union,2164,178.40,62562000,53364000,7852000,1346000,58857000
REGIONAL SCHOOL DISTRICT 06,Connecticut,CT ,0903515,1-Regular local school district that is NOT a component of a supervisory union,877,87.70,23741000,19036000,4280000,425000,23588000
REGIONAL SCHOOL DISTRICT 07,Connecticut,CT ,0903720,1-Regular local school district that is NOT a component of a supervisory union,983,88.26,25631000,21418000,3470000,743000,25266000
REGIONAL SCHOOL DISTRICT 08,Connecticut,CT ,0903750,1-Regular local school district that is NOT a component of a supervisory union,1276,128.60,34184000,29333000,4271000,580000,31828000
REGIONAL SCHOOL DISTRICT 09,Connecticut,CT ,0903780,1-Regular local school district that is NOT a component of a supervisory union,827,63.06,28799000,24408000,3915000,476000,26767000
REGIONAL SCHOOL DISTRICT 10,Connecticut,CT ,0903520,1-Regular local school district that is NOT a component of a supervisory union,2179,179.10,48913000,34228000,13431000,1254000,47418000
REGIONAL SCHOOL DISTRICT 11,Connecticut,CT ,0903570,1-Regular local school district that is NOT a component of a supervisory union,201,26.50,7533000,6422000,844000,267000,7516000
REGIONAL SCHOOL DISTRICT 12,Connecticut,CT ,0903530,1-Regular local school district that is NOT a component of a supervisory union,686,75.67,27065000,23228000,3462000,375000,26649000
REGIONAL SCHOOL DISTRICT 13,Connecticut,CT ,0903535,1-Regular local school district that is NOT a component of a supervisory union,1436,135.70,44219000,31861000,11046000,1312000,43042000
REGIONAL SCHOOL DISTRICT 14,Connecticut,CT ,0903536,1-Regular local school district that is NOT a component of a supervisory union,1575,128.50,48666000,37349000,10159000,1158000,47215000
REGIONAL SCHOOL DISTRICT 15,Connecticut,CT ,0903537,1-Regular local school district that is NOT a component of a supervisory union,3486,283.60,88090000,68814000,17183000,2093000,86478000
REGIONAL SCHOOL DISTRICT 16,Connecticut,CT ,0903538,1-Regular local school district that is NOT a component of a supervisory union,1992,161.10,48222000,31495000,15110000,1617000,46745000
REGIONAL SCHOOL DISTRICT 17,Connecticut,CT ,0903539,1-Regular local school district that is NOT a component of a supervisory union,1831,156.60,49952000,38728000,10316000,908000,48323000
REGIONAL SCHOOL DISTRICT 18,Connecticut,CT ,0903540,1-Regular local school district that is NOT a component of a supervisory union,1282,112.30,39228000,32815000,5252000,1161000,36783000
